forecast_id,mse_1_5,mse_6_10
1,0.12047974502333518,0.35205695650296615
2,0.3170353648575369,0.1337751049406717
3,0.3421656944778482,0.09588298655384665
4,0.4176388498988284,0.0180636752438773
5,0.42395826259060215,0.018030773385999
6,0.3651765163127371,0.10929100057618077
7,0.13181013207289777,0.15270564065721
8,0.09584429450927592,0.2167818496932444
9,0.02204928086907071,0.2166379534139073
10,0.023187742765539317,0.2243665057293839
11,0.10266096135460838,0.17069085255575506
12,0.1508773488915142,0.30732051334366733
13,0.21672805961541242,0.24213235149151746
14,0.22061458307847687,0.2502242968477698
15,0.22136604659067455,0.25179870130678095
16,0.1711173322836875,0.23709192455712844
17,0.29878314977438186,0.05202982939259744
18,0.24331998943196093,0.09119768865252494
19,0.2594179542296112,0.1408408516881498
20,0.2545001435481938,0.1548931793861672
21,0.22204400300501653,0.14700520247812898
22,0.05154170121760139,0.1475788654210719
23,0.10088696833180837,0.09405367266315781
24,0.14525459540988464,0.05135443906248325
25,0.15801385076583369,0.03365190174106205
26,0.15594108171390328,0.0334103081636522
27,0.13381892298816503,0.05706654397619916
28,0.07700397616740319,0.13233250331591198
29,0.04102217207626571,0.21490586553487626
30,0.033083799853097326,0.28752801727123123
31,0.03072695717745482,0.35603664604683943
32,0.06555984280258353,0.32535696191353697
33,0.12449405001691413,0.25926590793514215
34,0.21264960820828488,0.16980897175299975
35,0.3139008051204362,0.07869140045740225
36,0.3486755694284486,0.02942242973080635
37,0.3212448326380321,0.0500451672342367
38,0.2625663989674255,0.03978375034421932
39,0.1884940541386537,0.038615595483108736
40,0.08969511552621764,0.03520551607361202
41,0.03224008251023168,0.03896716866767889
42,0.048516367138651185,0.029211985764232472
43,0.041674213923424366,0.08734385211653707
44,0.037995775753765546,0.17081836290831465
45,0.03966317857986417,0.2000500680962785
46,0.037432861183622615,0.25903653057484577
47,0.03576844749810816,0.30065309174932303
48,0.08581867635396519,0.2541224171937452
49,0.17495021931945107,0.15892917260773856
50,0.21015958736093232,0.1517317663901166
51,0.24472809125852962,0.1141424420507385
52,0.303447641629161,0.1798798640681924
53,0.24317035014213273,0.293039097971768
54,0.15912365584659227,0.47271444517827294
55,0.161720636964372,0.44117770673615053
56,0.11461020203692951,0.45157758499083167
57,0.17251431754700056,0.33128321091323487
58,0.3047578520567174,0.2212972586983939
59,0.5027671903159832,0.03266486826676678
60,0.4643616028386063,0.11876787562874389
61,0.4673574179715774,0.15247458368196784
62,0.3502843812031703,0.14327813372805992
63,0.2338058380262606,0.19834638627004852
64,0.03518624831353899,0.19288297650195166
65,0.12359338280739234,0.12028985693806385
66,0.1547642181944287,0.07114396028832656
67,0.13837439777112254,0.0883167199173085
68,0.1866257411961794,0.1099208028914461
69,0.1839536804753666,0.1478494195060692
70,0.10458997472082929,0.3063924184870067
71,0.08091221646696052,0.34683545307710917
72,0.1087894489051292,0.34923185878614726
73,0.1114564446086751,0.28951330973970146
74,0.149070307004316,0.264425228814394
75,0.2994480633448656,0.13700124737477867
76,0.34858910472666815,0.1431339822909516
77,0.34641103999801043,0.47077637276957784
78,0.3222168752733705,0.5222130032596406
79,0.2681828934276944,0.5116769401424314
80,0.13882820789176795,0.5147137463654571
81,0.16101615999982005,0.49491607026636286
82,0.47684205388930545,0.2472872304042122
83,0.5423878111497381,0.19269297473726815
84,0.528495140492488,0.20191304671894367
85,0.495747849843145,0.26127995250035396
86,0.4768936762090471,0.2875183124738202
87,0.25408665418877596,0.4439891873747518
88,0.2005296420183782,1.3147730839091103
89,0.2122349978440353,1.7157492381535384
90,0.277623515001079,1.6945530554612205
91,0.32703850946213797,1.585680712144668
92,0.4790212622102107,1.411569141691238
93,1.3468030007141383,0.48502305264528267
94,1.729888320391786,0.1252962428357939
95,1.7358101528212628,0.1027921146347019
96,1.6105914784955258,0.1099693582468692
97,1.4432892214292985,0.18928288984569014
98,0.4659496375255471,0.4029616509832271
99,0.11335047331905472,0.4011259993010725
100,0.09396702728899593,0.3930437859501309
101,0.09786423812167894,0.44470116032854784
102,0.19352814187738007,0.3544880777608216
103,0.40593014882715106,0.2977687880264104
104,0.42139817506588495,0.2524905441424258
105,0.4290353490460645,0.27084995222726843
106,0.4710373806885535,0.2320368279864052
107,0.3620599774834126,0.1752608451115971
108,0.2723260476007528,0.0647363015793246
109,0.2650032336488731,0.12583594667748063
110,0.276785887252159,0.09877534670388097
111,0.24329723840072703,0.11050292042669999
112,0.16561362496142976,0.2660291801914173
113,0.058124953098468456,0.272378071103024
114,0.13434773756922821,0.18845731921868986
115,0.10972752230579844,0.21092997731903745
116,0.1114192576750109,0.20121907578895937
117,0.27387467645160046,0.05720810665323937
118,0.2695023997469886,0.0599876542689287
119,0.2062752182277094,0.0497457686937885
120,0.21396466303030234,0.10108747751923186
121,0.21449991233025517,0.08403903478272022
122,0.055114789547375274,0.09147387041493306
123,0.06081375376982492,0.10179882359337793
124,0.046640065093385696,0.12702001842086313
125,0.10767379875489418,0.07663809998457388
126,0.09463432314923417,0.09390759287057718
127,0.09619691788325946,0.07340832505103381
128,0.09427441336735447,0.07311396738934765
129,0.12494740151559851,0.1766400399818453
130,0.06595084141428668,0.20390377416427974
131,0.09766094450013504,0.17161937569581326
